#alias	STUDY	SAMPLE	RUN/s	filename	md5	unencr_md5	reads_mapped
S008H151.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS433781	ERR571711,ERR571715,ERR571719,ERR571723,ERR571528,ERR571516,ERR571520,ERR571524,ERR571532,ERR571536,ERR571540,ERR571544,ERR571612,ERR571675,ERR571687,ERR571663,ERR571699,ERR571703,ERR571707	release_20150820_bcf/S008H151.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ad5c6557b6abd42d836b4da5284f1480	 5cdbe9a4c978c2a1466c904a0f216504	1119353229
S002R551.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS433774	ERR571724,ERR571569,ERR571573,ERR571577,ERR571561,ERR571549,ERR571553,ERR571557,ERR571565,ERR571613,ERR571625,ERR571632,ERR571636,ERR571652,ERR571640,ERR571644,ERR571648,ERR571656,ERR571676,ERR571688,ERR571664	release_20150820_bcf/S002R551.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	3ec530b69d9b40b9c12fb3634cd6444b	 df8ff4f52c9cfccb0bca163bb917dd85	1146684677
C003VO55.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS214674	ERR305513,ERR305516,ERR305519,ERR305522,ERR305543,ERR305546,ERR305549,ERR305552,ERR305555,ERR305558,ERR305561	release_20150820_bcf/C003VO55.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	5140fe3838a5590116a5911ca27d8494	 d7380c7d686c166d38e04343dda058a4	1032926383
S00V2DN1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS568975	ERR664045,ERR664048,ERR664057,ERR664042,ERR664051,ERR664054,ERR664060,ERR664072,ERR664063,ERR664066,ERR664069,ERR664075,ERR664078,ERR664081,ERR664084	release_20150820_bcf/S00V2DN1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	de0cbc23dc9a68cf6278e57891e5e9ca	 264357fdd98ea36ff2c1dd6f3b173d74	1084582406
S00V49N1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS568977	ERR664044,ERR664047,ERR664050,ERR664053,ERR664056,ERR664059,ERR664062,ERR664065,ERR664068,ERR664071,ERR664074,ERR664077,ERR664080,ERR664083,ERR664086	release_20150820_bcf/S00V49N1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ba426c22e18e997fcbdeeefd1fd49a2f	 06a797bc49bbe50fef822cb14b3332e1	1200212956
C005PS51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS206569	ERR776985,ERR776990,ERR776991,ERR776992,ERR776993,ERR776999,ERR777004,ERR777005,ERR777006,ERR777007,ERR777008	release_20150820_bcf/C005PS51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	4ba37271d805b5bb2e7a2a5042ce28e4	 513608e5c7d4c3f22c8f80cec600ef52	4005777476
C006G551.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS222245	ERR515048,ERR515029,ERR515034,ERR515037,ERR515051,ERR515054,ERR515057,ERR515060,ERR515063,ERR515120,ERR515122,ERR515124,ERR515126	release_20150820_bcf/C006G551.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	d472a4ef5306d3a44bd40710536cef43	 42625e2c935db17ae99db2b5407eaac8	1017856952
S00CP651.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS523623	ERR670112,ERR670116,ERR670124,ERR670128,ERR670132,ERR670156,ERR669932,ERR670032,ERR670040,ERR670044,ERR670048,ERR670052,ERR670056,ERR670060,ERR670064	release_20150820_bcf/S00CP651.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	8eb2ee3c3165a182e0293b31f97ef63a	 331fc28f683ccd9e3d07b10b8ec0ac8b	1081432615
C0011IA3bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS208316	ERR776946,ERR776943,ERR776944,ERR776945,ERR776947,ERR776948,ERR776949,ERR776950,ERR776951,ERR776952,ERR776953,ERR776954,ERR776955,ERR776956,ERR776960,ERR776957,ERR776958,ERR776959,ERR776961	release_20150820_bcf/C0011IA3bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	bb4bb6e91e31a04f08ea9c7735f193a6	 60b6c82125f6ad8b2c5b41a59acd24a1	1724668168
C003N351.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS222208	ERR515002,ERR515007,ERR515011,ERR515015,ERR515019,ERR515023,ERR515069,ERR515072,ERR515075,ERR515078,ERR515081,ERR515084,ERR515087,ERR515091,ERR515095,ERR515099,ERR515103,ERR515107,ERR515115,ERR515111	release_20150820_bcf/C003N351.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	143f624ceffa8f0626e6d3aa5e57ac11	 4b610a91fa836a254186297ff5ba412b	1438562249
NBC_NC11_41.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS666929	ERR772224,ERR772237,ERR772245,ERR772250,ERR772249	release_20150820_bcf/NBC_NC11_41.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	b17575c4bffbf2c8ae7d486d9ea5edfe	 74fea377552162b3483553cf87d84d38	1852701334
